"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.14201576439443e-20,0.42415599431968,0.746,0.448,2.16903054131434e-16,"Interneurons","EPHX1"
1.15307148327594e-20,0.716675869110975,0.369,0.174,2.190028668186e-16,"Interneurons","TENM3"
1.17007957499e-20,0.40043639374015,0.921,0.558,2.22233213677851e-16,"Interneurons","REEP5"
1.23455700048934e-20,0.462155333230747,0.693,0.396,2.3447941110294e-16,"Interneurons","FBXO44"
1.25153577434509e-20,0.343558334394855,0.352,0.154,2.37704189621364e-16,"Interneurons","S1PR5"
1.265022907713e-20,0.457641194270489,0.927,0.577,2.4026580086193e-16,"Interneurons","PGRMC1"
1.31493462372081e-20,0.461057190043959,0.628,0.365,2.49745533083294e-16,"Interneurons","SLC25A16"
1.38354106041217e-20,0.499274661062105,0.73,0.457,2.62775953604083e-16,"Interneurons","KIF13A"
1.38520173540688e-20,0.503385067479151,0.761,0.479,2.63091365605828e-16,"Interneurons","EXOC5"
1.47838339356548e-20,0.407271758618294,0.854,0.501,2.80789357939892e-16,"Interneurons","DLG4"
1.48339641134875e-20,0.433374374014387,0.766,0.441,2.81741480407467e-16,"Interneurons","DCLK1"
1.58602080343682e-20,0.426947851993177,0.848,0.511,3.01232931196756e-16,"Interneurons","RTL8C"
1.67417960328052e-20,0.596376842271356,0.575,0.322,3.17976932051069e-16,"Interneurons","TSPAN5"
1.67842812955669e-20,0.346618835677004,0.918,0.558,3.18783854646701e-16,"Interneurons","DSTN"
1.71599209306182e-20,0.459451193920263,0.746,0.445,3.25918378235232e-16,"Interneurons","RAB18"
1.80982047239827e-20,0.466481648098004,0.73,0.454,3.43739202322604e-16,"Interneurons","RAB21"
1.81778366494099e-20,0.399102369304279,0.383,0.176,3.45251651482243e-16,"Interneurons","ADAMTS18"
1.91021580911509e-20,0.451108464820928,0.918,0.617,3.62807288625229e-16,"Interneurons","CTTN"
1.96654688523149e-20,0.524685534267769,0.411,0.203,3.73506249912016e-16,"Interneurons","LIX1"
2.19169669034862e-20,0.731136556196859,0.496,0.28,4.16268952397913e-16,"Interneurons","DEPRECATED-ENSG00000141542"
2.21661165110523e-20,0.541374315176894,0.538,0.282,4.21001050894416e-16,"Interneurons","ATCAY"
2.30498200613626e-20,0.527843076490573,0.468,0.248,4.37785232425461e-16,"Interneurons","SAV1"
2.39760844912426e-20,0.463229201030082,0.67,0.401,4.55377772742171e-16,"Interneurons","PRDX6"
2.45928934047399e-20,0.393661070931273,0.73,0.427,4.67092824436225e-16,"Interneurons","ALDH1L1"
2.4995109561488e-20,0.445228883210292,0.8,0.496,4.74732115901341e-16,"Interneurons","PCMTD2"
2.57953668846737e-20,0.207187437809008,0.696,0.343,4.89931403240608e-16,"Interneurons","CHGB"
2.60222419523272e-20,0.666707221025313,0.42,0.219,4.94240441400551e-16,"Interneurons","ACSS2"
2.68858039438766e-20,0.365417222837756,0.704,0.391,5.10642074306047e-16,"Interneurons","DYNC1I1"
2.76859264311176e-20,0.576127256686696,0.524,0.297,5.25838800706217e-16,"Interneurons","RHPN1"
2.78601589587395e-20,0.676164960612258,0.414,0.214,5.29147999103339e-16,"Interneurons","DHCR7"
2.851564116741e-20,0.399392262168816,0.699,0.415,5.41597572692619e-16,"Interneurons","SGK3"
3.03889439578847e-20,0.427016066773389,0.71,0.417,5.77177212592105e-16,"Interneurons","CTIF"
3.28227470618894e-20,0.537081730224889,0.589,0.34,6.23402434946466e-16,"Interneurons","PLA2G4C"
3.40591519568805e-20,0.451169316226713,0.724,0.42,6.46885473117031e-16,"Interneurons","TLN2"
3.49775175591035e-20,0.463962655067975,0.439,0.219,6.64327991000053e-16,"Interneurons","TFEB"
3.50568691240196e-20,0.467930718490437,0.741,0.432,6.65835115272504e-16,"Interneurons","DNM1L"
3.62623260748198e-20,0.600249705733467,0.527,0.3,6.88730359139052e-16,"Interneurons","CCDC159"
3.78531826994873e-20,0.405952116163919,0.546,0.276,7.18945499011361e-16,"Interneurons","DDN"
3.81843228542361e-20,0.847549978815769,0.386,0.198,7.25234843970507e-16,"Interneurons","TMEM260"
3.82095802320321e-20,0.424639232821361,0.696,0.419,7.25714557346986e-16,"Interneurons","ATP9B"
3.91021077134758e-20,0.426609357097292,0.851,0.522,7.42666331802046e-16,"Interneurons","PCMT1"
3.97894007698166e-20,0.418247673623592,0.696,0.424,7.55720088821126e-16,"Interneurons","DYNLL1"
4.05664034463496e-20,0.515379064320665,0.718,0.427,7.70477700656519e-16,"Interneurons","AASDHPPT"
4.10370356952858e-20,0.465500128288726,0.752,0.466,7.79416418960563e-16,"Interneurons","RNF103"
4.10808250331319e-20,0.494767137235944,0.569,0.324,7.80248109854273e-16,"Interneurons","PPP1R9A"
4.20197126874411e-20,0.602785570124312,0.521,0.294,7.98080403072569e-16,"Interneurons","GALNT13"
4.24867286344521e-20,0.46569617659065,0.732,0.441,8.06950436954149e-16,"Interneurons","SDHB"
4.28985308001315e-20,0.385330131977928,0.454,0.229,8.14771795486897e-16,"Interneurons","NKX2-2"
4.33282282243438e-20,0.480562869704038,0.727,0.457,8.22933038664962e-16,"Interneurons","PHF10"
4.40056150864189e-20,0.686298443465813,0.431,0.222,8.35798647336354e-16,"Interneurons","DNAJC12"
4.5479680777573e-20,0.514317860428413,0.718,0.433,8.63795577008445e-16,"Interneurons","OPA1"
4.55867363783429e-20,0.664220183311249,0.493,0.278,8.65828884033867e-16,"Interneurons","NIPA1"
